Descri??o Leg?vel do Hor?rio,Id,Nome,Descri??o Curta,Descri??o Longa,Data de Cria??o,Data de Atualiza??o,Publicado por,Projeto,Classifica??o Et?ria,Mais Informa??es,Tags,Linguagens,Verificado,Sub-T?tulo,Inscri??es,Pre?o,Tradu??o para LIBRAS,?udio descri??o,Site,Facebook,Twitter,Google+,Instagram,Nome da aba oportunidade,Usar a aba oportunidades?,Data Inicial,Data Final,Dura??o,Frequ?ncia,Hor?rio Inicial,Hor?rio Final,Repete-Domingo,Repete-Segunda,Repete-Ter?a,Repete-Quarta,Repete-Quinta,Repete-Sexta,Repete-S?bado,Espa?o,CEP,Logradouro,N?mero,Complemento,Bairro,Munic?pio,Estado
Dia 30 de maio de 2019 ?s 15:00,693,"Contação de história sobre o livro ""Alice no pais das maravilhas"" de Lewis Carroll","Conta??o de hist?ria sobre o livro ""Alice no pais das maravilhas"" de Lewis Carroll apresentada pelo Professor e artista pl?stico Paulo Tio",,2017-10-17 10:04:07,2019-05-27 14:49:36,Guilherme Yung Wing Li ,Projetotodaquintatemhist?ria,Livre,(43) 3371-6500,"Lewis Carroll, Alice no pais das maravilhas, Paulo Tio, Conta??o de hist?rias",Livro e Literatura,false,,Inscri??es no local da apresenta??o,gratuito,,,,,,,,,,2019-05-30,,120,Uma vez,15:00,17:00,,,,,Sim,,,Biblioteca Eugênia Monfranati,Av. Guilherme de Almeida,2260,PR,,,,
Dia 31 de mar?o de 2019 ?s 19:00,732,CABARÉ DAS MUIÉ,"Apresenta??o de n?meros c?micos, desenvolvidos por palha?as de Londrina.",,2017-11-14 13:07:35,2019-02-18 17:43:22,Alexandre Simioni ,,Livre,(43) 3024-3330,,Artes Circenses,false,,lugares limitados - Contribui??o espont?nea ao final,contribuição espontânea ao final,,,https://www.facebook.com/events/2033103930107455/?active_tab=discussion,,,,,,,2019-03-31,,90,Uma vez,19:00,20:30,Sim,,,,,,,Vila TRIOLÉ Cultural,Rua Etienne Lenoir,155,PR,,,,
Dia 15 de julho de 2019 ?s 18:30,828,Círculo de Debate sobre o Livro Alguma poesia de Carlos Drummond de Andrade,"O projeto Literatura na Biblioteca consiste na realiza??o de palestras e c?rculos de debates para discutir as obras liter?rias solicitadas pelo vestibular da Universidade Estadual de Londrina (UEL). No dia 09 de abril ser? debatido o livro: Alguma poesia de Carlos Drummond de Andrade, cujo palestrante ser? Miguel Braga Vieira.","A a??o ? resultado da parceria firmada entre a Secretaria Municipal de Cultura (SMC), por meio da Diretoria de Bibliotecas, com o Departamento de P?s Gradua??o em Letras da UEL. Os encontros ser?o conduzidos e mediados por mestrandos e doutorandos do programa de Estudos Liter?rios da universidade. O projeto Literatura na Biblioteca busca, dentre os seus objetivos, busca propiciar aos vestibulandos palestras, oficinas e debates acerca das obras solicitadas no vestibular da UEL. Discutindo criticamente obras liter?rias com o intuito de desenvolver o senso cr?tico, e o pensar reflexivo dos participantes, por meio da leitura de literatura.",2018-03-28 09:25:15,2019-07-10 13:22:49,Guilherme Yung Wing Li ,LiteraturanaBiblioteca2019,Livre,,"Literatura na Biblioteca, Miguel Heitor Braga Vieira, Obras liter?rias do vestibular da UEL, Carlos Drummond de Andrade, Alguma poesia, Bate-papo","Palestra, Debate ou Encontro, Livro e Literatura",false,Palestrante: Miguel Heitor Braga Vieira,,gratuito,,,,,,,,,,2019-07-15,,90,Uma vez,18:30,20:00,,Sim,,,,,,Biblioteca Pública Municipal Professor Pedro Viriato Parigot de Souza,Avenida Rio de Janeiro,413,PR,,,,
"Toda seg, ter, qua, qui e sex de 12 de maio a 28 de dezembro de 2018 ?s 13:00",964,Exposição Histórica,"Apresentada em banners, a exposi??o hist?rica conta a trajet?ria de usos da edifica??o, desde sua inaugura??o em 1952 como o 4º Terminal Rodovi?rio da cidade, destacando informa??es sobre os arquitetos que a projetaram, aspectos da arquitetura modernista - da qual o edif?cio ? representante, e sua rela??o com a cidade e os elementos urbanos que comp?em seu entorno.","Apresentada em banners, a exposi??o hist?rica conta a trajet?ria de usos da edifica??o, desde sua inaugura??o em 1952 como o 4º Terminal Rodovi?rio da cidade, destacando informa??es sobre os arquitetos que a projetaram, aspectos da arquitetura modernista - da qual o edif?cio ? representante, e sua rela??o com a cidade e os elementos urbanos que comp?em seu entorno. Conta tamb?m momentos relevantes sobre seu uso como espa?o cultural e como Museu, e apresenta servi?os e atividades que oferece atualmente para a popula??o.",2018-06-27 09:47:16,2019-04-29 13:32:29,Diretoria de Ação Cultural ,,Livre,(43) 3337-6238,,Exposi??o,false,,,Gratuito,,,,,,,,,,2018-05-12,2018-12-28,300,Semanal,13:00,18:00,,Sim,Sim,Sim,Sim,Sim,,Museu de Arte de Londrina,Rua Sergipe,640,PR,,,,
"Toda seg, ter, qua, qui e sex de 15 de janeiro a 31 de maio de 2019 ?s 13:00",964,Exposição Histórica,"Apresentada em banners, a exposi??o hist?rica conta a trajet?ria de usos da edifica??o, desde sua inaugura??o em 1952 como o 4º Terminal Rodovi?rio da cidade, destacando informa??es sobre os arquitetos que a projetaram, aspectos da arquitetura modernista - da qual o edif?cio ? representante, e sua rela??o com a cidade e os elementos urbanos que comp?em seu entorno.","Apresentada em banners, a exposi??o hist?rica conta a trajet?ria de usos da edifica??o, desde sua inaugura??o em 1952 como o 4º Terminal Rodovi?rio da cidade, destacando informa??es sobre os arquitetos que a projetaram, aspectos da arquitetura modernista - da qual o edif?cio ? representante, e sua rela??o com a cidade e os elementos urbanos que comp?em seu entorno. Conta tamb?m momentos relevantes sobre seu uso como espa?o cultural e como Museu, e apresenta servi?os e atividades que oferece atualmente para a popula??o.",2018-06-27 09:47:16,2019-04-29 13:32:29,Diretoria de Ação Cultural ,,Livre,(43) 3337-6238,,Exposi??o,false,,,Gratuito,,,,,,,,,,2019-01-15,2019-05-31,300,Semanal,13:00,18:00,,Sim,Sim,Sim,Sim,Sim,,Museu de Arte de Londrina,Rua Sergipe,640,PR,,,,
Dia 20 de maio de 2019 ?s 18:30,1006,"Palestra sobre o livro ""Clara dos Anjos"" de Lima Barreto","No dia 20 de maio a Biblioteca receber? a palestra sobre o livro ""Clara dos Anjos"" de Lima Barreto, cujo palestrante ser? Lucas Toledo de Andrade. O evento faz parte do projeto Literatura na Biblioteca que consiste na realiza??o de palestras e c?rculos de debates para discutir as obras liter?rias do vestibular da UEL.","O projeto Literatura na Biblioteca consiste na realiza??o de palestras e c?rculos de debates para discutir as obras liter?rias solicitadas pelo vestibular da Universidade Estadual de Londrina (UEL). Os encontros ir?o ocorrer das 18h30 ?s 20 horas, e cada obra ser? o tema de duas reuni?es. O projeto ? gratuito e aberto a toda comunidade. A Biblioteca P?blica Municipal fica na avenida Rio de Janeiro, 413, Centro. A a??o ? resultado da parceria firmada entre a Secretaria Municipal de Cultura (SMC), por meio da Diretoria de Bibliotecas, com o Departamento de P?s Gradua??o em Letras da UEL. Os encontros ser?o conduzidos e mediados por mestrandos e doutorandos do programa de Estudos Liter?rios da universidade. O projeto Literatura na Biblioteca busca, dentre os seus objetivos, busca propiciar aos vestibulandos palestras, oficinas e debates acerca das obras solicitadas no vestibular da UEL. Discutindo criticamente obras liter?rias com o intuito de desenvolver o senso cr?tico, e o pensar reflexivo dos participantes, por meio da leitura de literatura.",2018-07-27 16:33:53,2019-05-16 14:03:33,Guilherme Yung Wing Li ,LiteraturanaBiblioteca2019,Livre,(43) 3371-6500,"Lucas Toledo de Andrade, Lima Barreto, Clara dos Anjos, Projeto Literatura na Biblioteca, Livros do vestibular da UEL","Livro e Literatura, Palestra, Debate ou Encontro",false,Palestrante: Lucas Toledo de Andrade,Inscri??es no local,gratuito,,,,,,,,,,2019-05-20,,90,Uma vez,18:30,20:00,,Sim,,,,,,Biblioteca Pública Municipal Professor Pedro Viriato Parigot de Souza,Avenida Rio de Janeiro,413,PR,,,,
Somente aos domingos,1026,Evento Teste,Evento teste descri??o,,2018-08-10 12:55:01,2019-06-24 13:08:05,Wagner Watanabe DTI ,,Livre,,,Cultura Digital,false,,,10,,,,,,,,,,2019-06-21,2019-06-22,60,Semanal,20:00,21:00,Sim,,,,,,,VILA CULTURAL CEMITÉRIO DE AUTOMÓVEIS,Av Arthur Thomas,342,,PR,,,
Diariamente de 21 a 25 de outubro de 2019 ?s 08:00,1031,"Campanha leia, doe e troque","Campanha leia, doe e troque - Troca de livros de literatura e gibis",,2018-08-13 15:59:04,2019-10-16 13:48:09,Guilherme Yung Wing Li ,SemanaNacionaldoLivroedaBiblioteca2019,Livre,(43) 3878-6800,"Troca de livros e gibis, Campanha leia, doe e troque","Outros, Livro e Literatura",false,,*Somente p?blico interno,gratuito,,,,,,,,,,2019-10-21,2019-10-25,600,Diariamente,08:00,18:00,,Sim,Sim,Sim,Sim,Sim,,Colégio Mãe de Deus,Rua Par?/td>,845,,,,,
Dia 22 de outubro de 2019 ?s 19:30,1057,Palestra: Busca em bases de dados gratuitas,Busca em bases de dados gratuitas. Promover a pesquisa nas Bases de Dados Scholar e Scielo aos alunos de Gradua??o em Teologia,,2018-08-17 13:59:03,2019-10-16 13:53:02,Guilherme Yung Wing Li ,SemanaNacionaldoLivroedaBiblioteca2019,Livre,(43) 3371-6500,"Marcos Antonio Moraes, Base de dados Scholar e Scielo","Palestra, Debate ou Encontro",false,,Somente para alunos do curso de Gradua??o em Teologia,gratuito,,,,,,,,,,2019-10-22,,70,Uma vez,19:30,20:40,,,Sim,,,,,Faculdade Teológica Sul Americana,Rua Martinho Lutero,277,PR,,,,
Dia 22 de outubro de 2019 ?s 14:00,1058,"Roda de conversa: A relevância da leitura para a leitura de mundo, na perspectiva de Paulo Freire","Roda de conversa: A relev?ncia da leitura para a leitura de mundo, na perspectiva de Paulo Freire. Discuss?o sobre a relev?ncia da leitura na perspectiva de Paulo Freire",,2018-08-17 14:10:53,2019-10-16 13:54:59,Guilherme Yung Wing Li ,SemanaNacionaldoLivroedaBiblioteca2019,Livre,(43) 3878-6100,"Paulo Freire, Roda de conversa","Livro e Literatura, Palestra, Debate ou Encontro",false,,Somente comunidade interna,gratuito,,,,,,,,,,2019-10-22,,120,Uma vez,14:00,16:00,,,Sim,,,,,IFPR - Instituto Federal do Paraná Campus Londrina,Rua Jo?o XXIII,600,PR,,,,
